Unnamed: 0,model_name,frozen_proportion,learning_rate,val_auc,val_accuracy,val_loss,val_precision
,CNN,0.0091841897440634,0.0001895877943678,"[0.9441626071929932, 0.7130281329154968, 0.9526053667068481, 0.8083495497703552, 0.9419808387756348, 0.9362125992774963]","[0.8309034109115601, 0.573418378829956, 0.8505597710609436, 0.6351210474967957, 0.8670918941497803, 0.8191877007484436]","[0.48111313581466675, 1.2386066913604736, 0.42450422048568726, 0.9639571905136108, 0.7220283150672913, 0.5032941699028015]","[0.9166533946990967, 0.618425190448761, 0.8770537376403809, 0.6671115159988403, 0.8730033040046692, 0.8288577198982239]"
,CNN,0.0091841897440634,0.0001895877943678,"[0.937841534614563, 0.9370222091674805, 0.9258846044540405, 0.8003635406494141]","[0.8471752405166626, 0.8788076043128967, 0.8086435794830322, 0.6304348111152649]","[0.5030843019485474, 0.7119486927986145, 0.5491959452629089, 0.9280406832695007]","[0.8805990815162659, 0.8854538202285767, 0.8433476686477661, 0.6670137047767639]"
,ViT,0.4585942262754713,0.0003254990358444,"[0.981839120388031, 0.565406322479248, 0.8997522592544556, 0.9773938059806824]","[0.8941681981086731, 0.40705546736717224, 0.7184327244758606, 0.8841447830200195]","[0.27160221338272095, 2.0663905143737793, 0.6107140779495239, 0.2947748601436615]","[0.9093107581138611, 0.4128705859184265, 0.7801159024238586, 0.9046258330345154]"
,ViT,0.4585942262754713,0.0003254990358444,"[0.8690183162689209, 0.4973103702068329, 0.9191550612449646, 0.9766098856925964, 0.9430493116378784, 0.9848068952560425, 0.963168203830719, 0.9631195068359375, 0.9655598402023315]","[0.7283259630203247, 0.41017964482307434, 0.7880760431289673, 0.8854464888572693, 0.8052590489387512, 0.9121322631835938, 0.8552460074424744, 0.8400156497955322, 0.8588908910751343]","[0.7578198909759521, 1.7620915174484253, 0.5770677328109741, 0.3077305257320404, 0.4718666076660156, 0.23992760479450226, 0.38173454999923706, 0.4008563756942749, 0.370037317276001]","[0.7569454312324524, 0.428901731967926, 0.8366429805755615, 0.8954727053642273, 0.8252187967300415, 0.9249932765960693, 0.872801661491394, 0.8504375219345093, 0.8765783905982971]"
,ViT,0.4585942262754713,0.0003254990358444,"[0.9767099022865295, 0.9875706434249878, 0.962188184261322, 0.958670973777771, 0.9841165542602539]","[0.8850559592247009, 0.9074459671974182, 0.8646185994148254, 0.8418380618095398, 0.8975527286529541]","[0.38904082775115967, 0.22088564932346344, 0.4089687168598175, 0.43732765316963196, 0.2667539715766907]","[0.9491676688194275, 0.9248858094215393, 0.8849774599075317, 0.8559367656707764, 0.9019556641578674]"
,CNN,0.4511052831851554,0.0002580595304259,"[0.6656917929649353, 0.6922003626823425, 0.8808533549308777, 0.8746589422225952, 0.8716434836387634, 0.90085369348526, 0.9432157874107361, 0.9135490655899048, 0.918665885925293, 0.9394434690475464]","[0.48854464292526245, 0.5420463681221008, 0.7715438604354858, 0.7430356740951538, 0.7555323839187622, 0.7449882626533508, 0.8228325843811035, 0.7652955055236816, 0.7686800360679626, 0.8410570025444031]","[1.135676383972168, 1.0129680633544922, 0.7171220779418945, 0.7034737467765808, 0.717411458492279, 0.6372703909873962, 0.4749276041984558, 0.5908675789833069, 0.590520977973938, 0.4916820824146271]","[0.5739352703094482, 0.7264817953109741, 0.8624957203865051, 0.8359008431434631, 0.809852659702301, 0.7939268946647644, 0.8555900454521179, 0.8046875, 0.8024285435676575, 0.8534877300262451]"
,CNN,0.4511052831851554,0.0002580595304259,"[0.7589186429977417, 0.9102992415428162, 0.9190826416015625, 0.8416188955307007, 0.7978948950767517, 0.9148060083389282, 0.9284425377845764, 0.8282449841499329, 0.9206045269966125, 0.912050724029541]","[0.6641499400138855, 0.8237438201904297, 0.8225722312927246, 0.7348346710205078, 0.6757354736328125, 0.7900286316871643, 0.8068211674690247, 0.6895339488983154, 0.7885967493057251, 0.7779223918914795]","[0.9790330529212952, 0.6736024618148804, 0.5872141122817993, 0.828533947467804, 0.9228551387786865, 0.5764800906181335, 0.5321803689002991, 0.8865722417831421, 0.5743134617805481, 0.5977644920349121]","[0.7643187642097473, 0.9053386449813843, 0.8765543103218079, 0.815763533115387, 0.7148294448852539, 0.8254241943359375, 0.8491323590278625, 0.7193233966827393, 0.8164945840835571, 0.7980343103408813]"
,CNN,0.4511052831851554,0.0002580595304259,"[0.9184751510620117, 0.8594390153884888, 0.8659785985946655, 0.945391058921814, 0.774817168712616, 0.9623539447784424, 0.9680525064468384, 0.9294566512107849, 0.9665905833244324, 0.8997420072555542]","[0.8095548152923584, 0.7350950241088867, 0.7370476722717285, 0.8474355340003967, 0.6448841691017151, 0.8594115972518921, 0.8755532503128052, 0.8111168742179871, 0.8737307786941528, 0.7591773271560669]","[0.6670352816581726, 0.7484772801399231, 0.7291315793991089, 0.4899361729621887, 0.9715577960014343, 0.399739533662796, 0.35811060667037964, 0.5236111879348755, 0.35908010601997375, 0.6696685552597046]","[0.9361789226531982, 0.8127589225769043, 0.813907265663147, 0.908346951007843, 0.7211180925369263, 0.903598964214325, 0.9053715467453003, 0.8522381782531738, 0.8978589773178101, 0.7961456179618835]"
,ViT,0.374396129382569,0.0001417684694418,"[0.9321345090866089, 0.9226561188697815, 0.9649240970611572, 0.9750221967697144, 0.9287281632423401, 0.9758424758911133, 0.9615530967712402]","[0.797578752040863, 0.7982296347618103, 0.8699557185173035, 0.8833637237548828, 0.7931528091430664, 0.8863577246665955, 0.8588908910751343]","[0.5327197313308716, 0.561234176158905, 0.37077221274375916, 0.3185111880302429, 0.5809959173202515, 0.32477661967277527, 0.44002994894981384]","[0.866355299949646, 0.8495941162109375, 0.8971301913261414, 0.9004988670349121, 0.8158550262451172, 0.9005761742591858, 0.8678770065307617]"
,ViT,0.374396129382569,0.0001417684694418,"[0.9692076444625854, 0.9868420958518982, 0.928409993648529, 0.9779980182647705, 0.9707125425338745]","[0.8941681981086731, 0.9096589684486389, 0.7767508625984192, 0.8790679574012756, 0.8778963685035706]","[0.3511551022529602, 0.22778430581092834, 0.6273678541183472, 0.30477139353752136, 0.37399598956108093]","[0.9152171015739441, 0.9245485067367554, 0.8014816641807556, 0.8957492709159851, 0.8824996948242188]"
